cinema, Aisaksittoo
store, Itaohpomoapii
nightclub, Itaisimmioapii
cafe, Itoiyo'pii
house, Naapoiyiss
tipi, Niitoiyiss
water, Aohkii 
fish, mamii 
oranges, aotahkoinammiksi 
apples, aipasstaamiinammiksi 
fries, paataakistsi 
burger, pikkiaaksin 
dessert, pisatsoyiikan	
bread, napayin	
tea, Siksikimmii 
coffee, Iitapsiksikimmii
bathroom, Makapoiyiss	
kitchen, Itoiyo’soap			
car, Aiksistomatomahka	
door, Kitsim			
elevator, Aisspaohpii			
window, Ksisstsikomstan		
dog, Imitaa 		
man, Ninaa					
woman, Aakii 					
girl, Aakiikoan 				
boy, Saahkomaapi 		
mother, Iksisst 			
father, Inn
hello, Oki 				
hellofriend, Oki_napi			
howareyou?, Tsaniita’piiwa?		
imdoinggood.you?, Tsikohssokopii.Kistoo?	
nottoobad, Matohkwiikii		
letsgo, Okí 				
yes, Aa				
no, Saa 			
today, Annohk
thismorning, Ksisskanaotonni
tomorrow, Aapinakos
iwillgo, Nitaakitapoo
iwilleat, Nitaaksoyi
